比赛编号,PRO_pattern_0_1_2,PRO_pattern_1_2_3,PRO_pattern_2_3_4,ENS_pattern_0_1_2,ENS_pattern_1_2_3,ENS_pattern_2_3_4,比赛结果
581,(4)0-4,(18)0-18,(6)6-12,(2)2-4,(2)0-2,(14)0-14,主胜
582,(3)1-4,(0)1-1,(1)2-1,(3)0-3,(2)3-1,(3)4-1,客胜
583,(5)1-6,(4)6-2,(6)1-7,(0)0-0,(0)0-0,(1)0-1,平局
584,(1)0-1,(0)1-1,(4)1-5,(1)0-1,(11)1-12,(6)3-9,客胜
585,(2)0-2,(0)1-1,(0)1-1,(2)5-3,(2)3-5,(2)3-1,主胜
586,(3)2-5,(1)3-4,(4)0-4,(0)1-1,(2)3-1,(2)4-2,主胜
587,(1)4-5,(3)5-2,(6)1-7,(1)2-3,(2)0-2,(7)0-7,主胜
588,(2)3-1,(1)1-2,(3)0-3,(4)0-4,(1)0-1,(4)5-1,平局
589,(1)4-5,(4)1-5,(4)6-2,(1)2-3,(3)5-2,(3)5-2,主胜
590,(0)2-2,(0)2-2,(0)2-2,(0)2-2,(1)2-1,(3)0-3,平局
591,(10)3-13,(9)3-12,(2)7-5,(1)1-2,(3)0-3,(3)0-3,平局
592,(2)1-3,(3)4-1,(3)4-1,(0)1-1,(4)1-5,(5)0-5,平局
593,(3)2-5,(7)0-7,(1)0-1,(0)1-1,(1)1-2,(0)2-2,主胜
594,(3)1-4,(1)5-4,(5)0-5,(3)0-3,(1)2-1,(1)0-1,客胜
595,(1)1-2,(3)0-3,(1)0-1,(1)1-2,(1)0-1,(0)1-1,平局
596,(1)0-1,(0)1-1,(4)1-5,(1)0-1,(1)0-1,(0)1-1,平局
597,(2)0-2,(2)0-2,(1)0-1,(3)5-2,(7)0-7,(3)2-5,主胜
598,(5)6-1,(4)3-7,(2)3-1,(1)1-2,(0)1-1,(3)2-5,客胜
599,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
600,(3)6-3,(7)8-1,(6)2-8,(2)3-5,(5)8-3,(1)3-2,平局
601,(1)2-1,(1)2-1,(0)1-1,(1)2-1,(1)0-1,(4)0-4,客胜
602,(0)2-2,(0)1-1,(1)1-2,(1)3-2,(0)1-1,(0)1-1,客胜
603,(2)0-2,(0)1-1,(1)0-1,(0)1-1,(1)0-1,(3)0-3,客胜
604,(3)1-4,(1)4-3,(7)0-7,(1)2-1,(4)5-1,(3)4-1,平局
605,(3)6-3,(3)6-9,(7)4-11,(2)3-5,(4)6-2,(1)6-7,平局
606,(1)0-1,(0)1-1,(2)4-2,(1)0-1,(0)0-0,(0)0-0,客胜
607,(0)1-1,(0)1-1,(1)1-2,(2)0-2,(1)1-2,(1)2-1,平局
608,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
609,(0)1-1,(1)2-1,(1)2-1,(3)0-3,(1)3-4,(2)2-4,平局
610,(3)1-4,(0)1-1,(0)2-2,(3)0-3,(2)3-1,(4)0-4,客胜
611,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
612,(2)0-2,(0)0-0,(2)0-2,(2)0-2,(1)1-2,(0)3-3,客胜
613,(5)0-5,(5)0-5,(1)6-5,(7)10-3,(13)0-13,(13)0-13,主胜
614,(4)6-2,(0)2-2,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
615,(5)6-1,(2)6-4,(4)10-6,(1)0-1,(3)1-4,(3)4-1,主胜
616,(2)2-4,(2)4-2,(0)2-2,(3)4-1,(1)2-3,(3)0-3,平局
617,(0)1-1,(0)1-1,(0)1-1,(6)7-1,(1)2-1,(1)3-2,平局
618,(1)4-5,(9)0-9,(4)0-4,(2)0-2,(2)0-2,(1)0-1,客胜
619,(1)2-1,(0)3-3,(2)1-3,(1)3-2,(3)0-3,(2)0-2,主胜
620,(1)4-3,(0)4-4,(1)4-3,(8)1-9,(3)6-3,(3)6-3,主胜
621,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
622,(7)9-2,(3)5-2,(1)4-3,(1)2-3,(2)0-2,(8)0-8,主胜
623,(1)2-1,(1)2-3,(3)1-4,(2)0-2,(0)1-1,(1)0-1,主胜
624,(1)4-5,(3)5-2,(6)1-7,(1)2-3,(2)0-2,(7)0-7,主胜
625,(2)5-3,(1)1-2,(1)0-1,(3)1-4,(1)4-3,(5)2-7,主胜
626,(6)9-3,(10)12-2,(6)2-8,(3)1-4,(0)2-2,(0)2-2,主胜
627,(3)1-4,(1)5-4,(5)0-5,(3)0-3,(1)2-1,(1)0-1,客胜
628,(0)1-1,(1)0-1,(0)1-1,(6)7-1,(4)5-1,(1)3-2,平局
629,(5)0-5,(3)5-2,(7)0-7,(3)1-4,(4)1-5,(0)3-3,客胜
630,(3)3-6,(2)3-1,(6)1-7,(0)5-5,(4)7-3,(7)0-7,主胜
631,(0)1-1,(0)2-2,(0)2-2,(2)0-2,(1)2-3,(2)5-3,平局
632,(10)3-13,(4)10-6,(6)0-6,(1)1-2,(1)1-2,(1)0-1,平局
633,(2)2-4,(0)3-3,(1)3-4,(0)2-2,(5)2-7,(3)10-7,客胜
634,(6)9-3,(10)12-2,(14)0-14,(3)1-4,(0)2-2,(1)2-3,主胜
635,(1)0-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
636,(2)0-2,(2)0-2,(1)0-1,(5)0-5,(7)0-7,(3)2-5,主胜
637,(0)1-1,(2)0-2,(2)0-2,(1)0-1,(1)0-1,(1)0-1,客胜
638,(6)0-6,(4)6-2,(3)5-2,(5)0-5,(7)0-7,(7)0-7,主胜
639,(1)4-5,(1)4-5,(5)4-9,(1)2-3,(0)1-1,(3)4-1,主胜
640,(0)5-5,(8)1-9,(8)1-9,(1)0-1,(1)1-2,(2)0-2,客胜
641,(1)7-6,(4)10-6,(4)10-6,(1)0-1,(1)1-2,(3)0-3,平局
642,(7)9-2,(3)4-7,(6)1-7,(1)2-3,(3)0-3,(7)0-7,主胜
643,(0)5-5,(9)10-1,(8)9-1,(1)0-1,(0)1-1,(0)1-1,客胜
644,(0)2-2,(1)1-2,(1)1-2,(1)3-2,(3)4-1,(0)1-1,客胜
645,(6)11-5,(15)1-16,(10)1-11,(3)0-3,(1)2-1,(11)12-1,主胜
646,(1)2-1,(1)3-4,(2)3-1,(1)3-2,(2)3-1,(4)0-4,主胜
647,(2)3-1,(0)3-3,(0)3-3,(4)0-4,(2)3-1,(1)2-3,平局
648,(1)2-1,(1)2-1,(1)2-1,(1)3-2,(3)2-5,(2)0-2,主胜
649,(2)1-3,(1)5-4,(5)0-5,(0)5-5,(1)2-3,(5)2-7,主胜
650,(8)2-10,(12)0-12,(10)12-2,(2)9-7,(14)15-1,(15)0-15,平局
651,(1)4-5,(1)4-5,(3)3-6,(1)2-3,(0)1-1,(4)5-1,主胜
652,(3)3-6,(1)4-5,(3)8-5,(0)5-5,(1)2-3,(2)4-2,主胜
653,(2)0-2,(4)6-2,(2)4-2,(5)0-5,(5)0-5,(3)1-4,主胜
654,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
655,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
656,(10)3-13,(4)10-6,(3)10-7,(1)1-2,(1)1-2,(1)1-2,平局
657,(4)0-4,(4)0-4,(3)0-3,(2)0-2,(0)1-1,(1)0-1,客胜
658,(2)0-2,(0)2-2,(2)4-2,(2)0-2,(0)2-2,(1)4-3,客胜
659,(5)6-1,(0)7-7,(14)0-14,(1)1-2,(2)3-1,(1)5-4,客胜
660,(7)9-2,(3)4-7,(0)4-4,(1)2-3,(3)0-3,(2)3-5,主胜
661,(1)1-2,(0)1-1,(1)0-1,(3)5-2,(1)3-2,(4)5-1,平局
662,(0)2-2,(9)11-2,(9)13-4,(3)1-4,(3)5-8,(3)5-8,平局
663,(1)2-1,(1)2-3,(3)4-1,(1)1-2,(1)1-2,(2)0-2,主胜
664,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
665,(1)4-5,(1)4-5,(3)3-6,(1)2-3,(0)1-1,(4)5-1,主胜
666,(1)2-1,(0)1-1,(1)0-1,(1)2-3,(1)3-2,(4)5-1,平局
667,(5)10-5,(8)2-10,(4)12-8,(9)0-9,(5)0-5,(0)5-5,主胜
668,(2)2-4,(4)2-6,(2)0-2,(2)0-2,(0)2-2,(2)0-2,平局
669,(1)2-1,(1)0-1,(2)1-3,(1)3-2,(3)2-5,(2)0-2,主胜
670,(2)5-7,(2)5-7,(10)11-1,(1)2-1,(1)2-1,(4)2-6,客胜
671,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
672,(6)3-9,(7)12-5,(3)7-10,(7)2-9,(3)3-6,(2)4-6,主胜
673,(2)0-2,(1)0-1,(1)2-1,(2)3-1,(2)4-2,(7)9-2,平局
674,(2)3-1,(2)1-3,(8)11-3,(2)5-7,(4)8-4,(2)8-6,主胜
675,(6)0-6,(2)0-2,(7)9-2,(3)4-1,(1)4-3,(1)1-2,客胜
676,(1)1-2,(1)0-1,(0)0-0,(6)2-8,(10)0-10,(2)0-2,主胜
677,(4)1-5,(2)2-4,(5)2-7,(4)2-6,(0)1-1,(1)0-1,客胜
678,(2)4-2,(1)3-2,(1)3-4,(1)0-1,(1)0-1,(1)0-1,主胜
679,(0)1-1,(0)1-1,(3)1-4,(6)7-1,(1)2-1,(0)1-1,平局
680,(0)0-0,(2)0-2,(1)2-1,(2)0-2,(0)1-1,(8)9-1,主胜
681,(1)7-6,(4)10-6,(4)10-6,(1)0-1,(1)1-2,(3)0-3,平局
682,(1)2-1,(1)1-2,(1)2-1,(3)1-4,(1)2-3,(2)1-3,客胜
683,(1)0-1,(2)0-2,(0)1-1,(3)0-3,(1)2-1,(1)2-1,客胜
684,(4)0-4,(4)8-4,(8)10-2,(2)0-2,(0)1-1,(2)1-3,客胜
685,(4)1-5,(4)1-5,(5)6-1,(6)0-6,(0)6-6,(12)0-12,客胜
686,(6)0-6,(5)0-5,(5)0-5,(0)1-1,(4)1-5,(6)0-6,客胜
687,(2)5-3,(2)1-3,(1)3-4,(5)1-6,(7)1-8,(9)0-9,客胜
688,(3)7-4,(2)6-4,(6)0-6,(3)3-6,(3)9-6,(7)11-4,主胜
689,(0)1-1,(1)1-2,(0)1-1,(6)7-1,(3)5-2,(1)3-2,平局
690,(3)5-2,(2)5-3,(4)4-8,(2)0-2,(1)3-2,(2)5-3,主胜
691,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
692,(12)13-1,(12)13-1,(5)6-1,(1)0-1,(1)0-1,(1)0-1,平局
693,(3)5-2,(10)2-12,(12)0-12,(5)2-7,(7)2-9,(7)2-9,客胜
694,(1)2-1,(1)2-1,(1)2-1,(1)2-1,(1)2-1,(1)0-1,客胜
695,(1)4-3,(8)11-3,(13)14-1,(8)1-9,(2)4-6,(1)4-3,主胜
696,(1)7-6,(3)8-5,(5)0-5,(2)1-3,(0)3-3,(4)1-5,客胜
697,(5)1-6,(4)1-5,(0)1-1,(0)0-0,(1)0-1,(1)1-2,平局
698,(3)2-5,(7)0-7,(6)7-1,(0)1-1,(1)1-2,(2)1-3,主胜
699,(3)5-2,(3)7-4,(4)0-4,(12)0-12,(6)3-9,(2)1-3,客胜
700,(8)9-1,(3)3-6,(2)1-3,(0)3-3,(2)3-1,(4)0-4,主胜
701,(4)6-2,(0)4-4,(2)1-3,(0)0-0,(1)0-1,(1)0-1,主胜
702,(2)4-2,(16)18-2,(18)0-18,(2)1-3,(2)4-2,(1)2-1,平局
703,(3)1-4,(1)0-1,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
704,(1)2-1,(1)0-1,(1)2-1,(1)3-2,(3)2-5,(2)0-2,主胜
705,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
706,(5)7-12,(15)2-17,(3)7-10,(6)7-1,(4)2-6,(3)2-5,客胜
707,(1)2-1,(1)2-3,(3)4-1,(1)1-2,(1)1-2,(2)0-2,主胜
708,(2)0-2,(2)0-2,(1)0-1,(0)1-1,(1)1-2,(3)0-3,客胜
709,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
710,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
711,(12)14-2,(2)4-2,(2)3-1,(3)2-5,(5)7-2,(0)2-2,平局
712,(2)1-3,(2)4-6,(9)10-1,(4)6-2,(6)8-2,(4)7-3,客胜
713,(7)9-2,(1)1-2,(3)0-3,(1)2-3,(6)2-8,(8)0-8,主胜
714,(5)6-1,(3)6-3,(3)3-6,(2)0-2,(3)5-2,(5)2-7,平局
715,(4)5-1,(3)5-2,(2)0-2,(0)4-4,(2)1-3,(0)1-1,客胜
716,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
717,(4)0-4,(2)0-2,(0)2-2,(0)2-2,(1)2-1,(3)0-3,平局
718,(2)4-2,(2)0-2,(0)2-2,(1)0-1,(3)1-4,(3)1-4,主胜
719,(0)1-1,(2)2-4,(3)7-4,(6)1-7,(0)1-1,(1)1-2,客胜
720,(6)9-3,(12)0-12,(14)0-14,(3)1-4,(3)4-1,(1)2-3,主胜
721,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
722,(6)7-1,(3)8-5,(1)3-2,(1)0-1,(1)0-1,(1)0-1,主胜
723,(4)0-4,(9)0-9,(1)4-5,(2)0-2,(2)0-2,(0)1-1,客胜
724,(2)0-2,(2)0-2,(2)0-2,(2)5-3,(3)6-3,(2)6-4,平局
725,(4)0-4,(2)2-4,(4)2-6,(1)0-1,(1)0-1,(1)0-1,主胜
726,(7)0-7,(2)7-5,(2)5-7,(1)0-1,(6)0-6,(2)4-2,客胜
727,(2)0-2,(2)0-2,(2)0-2,(2)5-3,(4)1-5,(8)1-9,平局
728,(2)6-4,(2)6-8,(0)4-4,(3)9-6,(3)6-9,(4)5-1,主胜
729,(3)4-7,(10)11-1,(8)10-2,(3)1-4,(1)1-2,(1)4-3,主胜
730,(4)1-5,(1)4-5,(1)4-5,(6)0-6,(6)0-6,(6)0-6,客胜
731,(1)2-1,(2)1-3,(4)0-4,(3)0-3,(1)4-3,(0)4-4,平局
732,(1)4-5,(3)5-2,(5)7-2,(1)2-3,(2)0-2,(10)2-12,主胜
733,(4)0-4,(5)0-5,(1)2-3,(2)0-2,(1)0-1,(0)1-1,客胜
734,(0)1-1,(2)2-4,(1)4-3,(6)1-7,(0)1-1,(1)0-1,客胜
735,(11)0-11,(9)10-1,(1)0-1,(0)1-1,(8)1-9,(8)1-9,客胜
736,(1)3-4,(2)1-3,(3)1-4,(0)1-1,(4)1-5,(4)2-6,平局
737,(4)0-4,(4)0-4,(0)2-2,(2)0-2,(0)1-1,(1)1-2,客胜
738,(1)1-2,(1)2-1,(3)1-4,(4)6-2,(2)4-2,(2)0-2,平局
739,(5)7-2,(2)0-2,(8)0-8,(0)0-0,(0)0-0,(0)0-0,平局
740,(2)2-4,(4)2-6,(2)0-2,(2)0-2,(0)2-2,(2)0-2,平局
741,(0)1-1,(0)1-1,(1)1-2,(2)0-2,(1)1-2,(1)2-1,平局
742,(3)4-1,(5)0-5,(9)0-9,(1)2-1,(1)0-1,(2)0-2,客胜
743,(2)3-1,(1)1-2,(2)3-1,(4)0-4,(1)0-1,(3)4-1,平局
744,(0)1-1,(0)1-1,(1)1-2,(2)0-2,(1)0-1,(0)1-1,客胜
745,(1)2-1,(2)1-3,(4)0-4,(1)3-2,(7)3-10,(13)0-13,主胜
746,(5)6-1,(7)8-1,(2)5-3,(2)0-2,(5)0-5,(2)7-5,平局
747,(0)2-2,(4)2-6,(4)1-5,(0)2-2,(0)2-2,(0)2-2,平局
748,(7)0-7,(6)7-1,(1)7-8,(1)0-1,(0)0-0,(4)0-4,主胜
749,(6)2-8,(7)8-1,(4)5-9,(0)2-2,(1)2-3,(0)3-3,主胜
750,(4)0-4,(5)0-5,(1)5-4,(2)0-2,(1)0-1,(1)2-1,客胜
751,(1)2-1,(1)2-3,(1)2-3,(1)0-1,(1)0-1,(2)0-2,平局
752,(3)1-4,(5)0-5,(7)12-5,(2)3-5,(3)0-3,(0)0-0,主胜
753,(6)7-1,(5)8-3,(1)3-2,(1)0-1,(1)0-1,(1)0-1,主胜
754,(2)4-2,(1)1-2,(5)6-1,(3)2-5,(5)0-5,(2)0-2,平局
755,(0)2-2,(4)2-6,(4)2-6,(0)2-2,(0)2-2,(2)0-2,平局
756,(1)2-1,(1)3-4,(2)3-1,(1)3-2,(2)3-1,(4)0-4,主胜
757,(1)2-1,(1)2-1,(2)1-3,(1)3-2,(1)2-3,(2)0-2,主胜
758,(14)15-1,(11)13-2,(9)13-4,(2)0-2,(3)0-3,(1)2-3,平局
759,(3)4-7,(1)6-5,(3)4-1,(0)0-0,(2)0-2,(2)0-2,平局
760,(1)6-5,(11)0-11,(7)2-9,(0)3-3,(4)6-2,(4)6-2,主胜
761,(7)3-10,(6)2-8,(6)8-2,(3)1-4,(0)2-2,(1)1-2,主胜
762,(2)3-1,(2)1-3,(1)2-1,(5)0-5,(3)4-1,(2)1-3,客胜
763,(5)0-5,(3)1-4,(1)1-2,(2)1-3,(4)1-5,(3)1-4,平局
764,(1)1-2,(1)1-2,(1)1-2,(1)2-1,(0)2-2,(2)2-4,主胜
765,(1)0-1,(0)1-1,(1)1-2,(1)0-1,(0)1-1,(1)2-1,平局
766,(7)0-7,(0)7-7,(6)7-1,(2)1-3,(4)0-4,(0)0-0,平局
767,(3)4-1,(3)7-4,(2)11-13,(7)0-7,(7)0-7,(6)7-1,主胜
768,(1)0-1,(6)1-7,(2)5-3,(1)0-1,(1)0-1,(2)1-3,客胜
769,(2)3-1,(4)1-5,(3)8-5,(4)7-3,(3)5-2,(2)4-2,主胜
770,(1)1-2,(0)1-1,(2)0-2,(3)5-2,(1)2-1,(0)3-3,平局
771,(4)6-2,(0)4-4,(3)4-1,(0)0-0,(1)0-1,(1)0-1,主胜
772,(0)1-1,(0)1-1,(0)1-1,(2)0-2,(5)0-5,(4)5-1,平局
773,(2)3-1,(4)1-5,(3)8-5,(4)7-3,(3)5-2,(2)4-2,主胜
774,(1)1-2,(0)1-1,(2)0-2,(3)5-2,(1)2-1,(0)3-3,平局
775,(1)2-1,(0)3-3,(2)5-3,(2)0-2,(2)0-2,(1)0-1,主胜
776,(10)3-13,(11)12-1,(8)10-2,(1)1-2,(1)1-2,(0)3-3,平局
777,(4)0-4,(2)0-2,(1)2-3,(0)3-3,(1)4-3,(1)3-4,平局
778,(6)0-6,(2)4-2,(7)9-2,(3)4-1,(1)1-2,(1)1-2,客胜
779,(2)0-2,(1)0-1,(0)1-1,(2)3-1,(0)2-2,(1)2-3,主胜
780,(3)1-4,(1)5-4,(9)0-9,(3)0-3,(1)2-1,(2)0-2,客胜
781,(3)4-1,(4)0-4,(2)3-1,(0)1-1,(0)2-2,(2)4-2,平局
782,(0)9-9,(8)9-1,(3)4-1,(0)2-2,(2)1-3,(1)0-1,客胜
783,(3)4-1,(3)4-1,(7)8-1,(2)3-5,(4)1-5,(2)4-2,客胜
784,(7)9-2,(1)1-2,(1)0-1,(1)2-3,(6)2-8,(10)0-10,主胜
785,(5)9-4,(5)9-4,(9)11-2,(0)6-6,(6)3-9,(3)6-3,平局
786,(0)1-1,(1)2-1,(2)3-5,(1)0-1,(0)1-1,(0)1-1,平局
787,(0)2-2,(0)2-2,(2)0-2,(5)0-5,(1)2-3,(1)1-2,客胜
788,(1)3-4,(4)0-4,(0)4-4,(4)0-4,(4)0-4,(0)4-4,平局
789,(14)0-14,(17)0-17,(1)8-9,(0)0-0,(1)0-1,(3)1-4,客胜
790,(1)2-1,(0)1-1,(2)3-1,(4)0-4,(2)1-3,(1)1-2,主胜
791,(5)4-9,(6)3-9,(5)3-8,(1)2-3,(3)3-6,(9)0-9,客胜
792,(2)4-2,(1)3-2,(5)3-8,(1)3-2,(2)3-5,(3)0-3,客胜
793,(8)0-8,(8)0-8,(4)6-2,(1)0-1,(0)0-0,(5)0-5,客胜
794,(6)5-11,(6)11-5,(1)2-3,(4)0-4,(5)9-4,(7)3-10,客胜
795,(7)9-2,(3)4-7,(0)4-4,(1)2-3,(3)0-3,(2)3-5,主胜
796,(2)0-2,(0)0-0,(2)0-2,(0)1-1,(1)2-1,(2)3-1,客胜
797,(0)1-1,(0)1-1,(3)1-4,(6)7-1,(1)2-1,(0)1-1,平局
798,(1)2-1,(3)4-1,(3)1-4,(2)0-2,(0)1-1,(1)0-1,主胜
799,(2)1-3,(3)4-7,(5)6-1,(4)6-2,(6)7-1,(1)1-2,客胜
800,(1)1-2,(1)0-1,(8)0-8,(6)2-8,(10)0-10,(7)0-7,主胜
801,(1)2-1,(0)3-3,(2)3-1,(1)3-2,(3)0-3,(4)0-4,主胜
802,(8)9-1,(9)10-1,(3)4-7,(0)3-3,(0)3-3,(2)4-2,主胜
803,(2)0-2,(4)6-2,(4)1-5,(3)5-2,(7)0-7,(7)0-7,主胜
804,(2)0-2,(0)1-1,(1)2-1,(0)1-1,(1)0-1,(3)0-3,客胜
805,(0)1-1,(0)1-1,(0)1-1,(6)7-1,(1)2-1,(1)3-2,平局
806,(4)5-1,(3)5-2,(3)5-2,(0)4-4,(2)1-3,(1)2-3,客胜
807,(5)0-5,(3)0-3,(3)0-3,(0)1-1,(0)1-1,(4)1-5,主胜
808,(4)0-4,(2)0-2,(2)2-4,(0)3-3,(1)4-3,(7)0-7,平局
809,(9)10-1,(5)6-1,(6)7-1,(3)4-1,(1)5-4,(2)6-4,主胜
810,(1)1-2,(1)0-1,(4)0-4,(6)2-8,(10)0-10,(8)0-8,主胜
811,(0)1-1,(0)1-1,(1)0-1,(1)2-1,(2)0-2,(3)0-3,客胜
812,(1)4-3,(7)0-7,(7)0-7,(0)0-0,(1)0-1,(2)3-1,客胜
813,(0)1-1,(1)1-2,(1)1-2,(1)0-1,(1)1-2,(1)1-2,客胜
814,(2)2-4,(4)0-4,(5)0-5,(1)0-1,(1)0-1,(4)1-5,主胜
815,(4)0-4,(5)0-5,(3)4-1,(2)0-2,(1)0-1,(0)1-1,客胜
816,(4)0-4,(2)1-3,(7)8-1,(2)0-2,(2)0-2,(0)1-1,客胜
817,(4)1-5,(6)0-6,(16)0-16,(4)0-4,(1)0-1,(5)1-6,客胜
818,(1)4-3,(2)3-1,(4)0-4,(8)1-9,(4)7-3,(2)1-3,主胜
819,(4)0-4,(0)2-2,(1)2-1,(2)0-2,(0)2-2,(2)3-1,客胜
820,(14)0-14,(2)8-6,(1)5-6,(0)0-0,(5)0-5,(5)0-5,客胜
821,(0)2-2,(3)2-5,(5)2-7,(6)3-9,(10)2-12,(12)1-13,主胜
822,(3)0-3,(3)0-3,(1)1-2,(8)0-8,(6)8-2,(8)2-10,主胜
823,(1)0-1,(0)0-0,(1)0-1,(2)1-3,(2)1-3,(1)1-2,客胜
824,(2)2-4,(1)4-3,(1)2-1,(6)3-9,(2)1-3,(1)4-3,客胜
825,(8)10-2,(10)11-1,(3)1-4,(3)1-4,(4)5-1,(4)1-5,主胜
826,(2)5-7,(8)2-10,(8)2-10,(2)4-6,(10)0-10,(6)0-6,客胜
827,(4)0-4,(0)2-2,(1)2-3,(2)0-2,(0)2-2,(0)1-1,客胜
828,(1)0-1,(2)0-2,(1)1-2,(0)1-1,(0)1-1,(1)2-1,平局
829,(0)1-1,(1)0-1,(4)0-4,(1)2-1,(3)4-1,(2)3-1,主胜
830,(4)6-2,(0)4-4,(2)4-2,(0)0-0,(1)0-1,(3)1-4,主胜
831,(0)0-0,(6)0-6,(2)2-4,(2)0-2,(1)2-1,(1)0-1,主胜
832,(0)0-0,(2)0-2,(1)2-1,(1)0-1,(1)0-1,(1)0-1,客胜
833,(2)0-2,(5)2-7,(3)6-3,(11)1-12,(13)0-13,(5)4-9,客胜
834,(7)0-7,(0)7-7,(1)8-7,(2)1-3,(4)0-4,(2)0-2,主胜
835,(2)0-2,(1)2-3,(1)2-1,(2)0-2,(0)1-1,(2)3-1,客胜
836,(3)1-4,(0)1-1,(0)1-1,(3)0-3,(2)3-1,(1)2-1,客胜
837,(5)0-5,(1)0-1,(1)1-2,(0)1-1,(0)2-2,(2)3-1,主胜
838,(1)0-1,(3)0-3,(0)3-3,(0)1-1,(0)1-1,(2)0-2,平局
839,(4)3-7,(8)9-1,(9)0-9,(1)0-1,(1)0-1,(1)0-1,客胜
840,(6)7-1,(1)0-1,(2)0-2,(1)0-1,(1)0-1,(0)0-0,主胜
841,(2)2-4,(6)0-6,(4)6-2,(1)0-1,(1)0-1,(0)0-0,主胜
842,(0)6-6,(4)4-8,(2)3-1,(1)3-2,(4)3-7,(7)0-7,平局
843,(7)0-7,(0)7-7,(1)8-7,(2)1-3,(4)0-4,(2)0-2,主胜
844,(4)6-2,(0)2-2,(1)3-4,(0)0-0,(1)0-1,(1)0-1,主胜
845,(9)0-9,(9)0-9,(3)6-3,(0)0-0,(2)0-2,(0)2-2,主胜
846,(1)0-1,(0)1-1,(3)2-5,(1)0-1,(0)1-1,(0)1-1,平局
847,(2)0-2,(2)2-4,(2)2-4,(0)0-0,(1)0-1,(0)1-1,平局
848,(3)1-4,(5)0-5,(4)1-5,(2)0-2,(2)0-2,(1)2-1,客胜
849,(3)0-3,(0)3-3,(0)3-3,(8)0-8,(4)6-2,(4)6-2,主胜
850,(0)1-1,(1)2-1,(1)1-2,(2)0-2,(0)1-1,(1)2-1,平局
851,(3)1-4,(3)1-4,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
852,(2)3-1,(1)1-2,(2)3-1,(4)0-4,(1)0-1,(3)4-1,平局
853,(3)0-3,(1)1-2,(3)5-2,(1)2-1,(2)1-3,(1)1-2,客胜
854,(4)1-5,(6)0-6,(1)0-1,(4)0-4,(1)0-1,(0)1-1,客胜
855,(1)2-1,(1)0-1,(2)3-1,(1)0-1,(1)0-1,(0)1-1,平局
856,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
857,(2)5-3,(2)1-3,(2)1-3,(5)1-6,(7)1-8,(2)3-5,客胜
858,(1)0-1,(0)1-1,(1)1-2,(1)0-1,(1)1-2,(1)2-1,平局
859,(3)1-4,(3)1-4,(3)4-1,(3)0-3,(1)1-2,(0)1-1,客胜
860,(1)2-1,(1)2-3,(3)0-3,(3)4-1,(3)4-1,(2)3-1,平局
861,(3)0-3,(1)1-2,(3)5-2,(1)2-1,(2)1-3,(1)1-2,客胜
862,(4)1-5,(6)0-6,(1)0-1,(4)0-4,(1)0-1,(0)1-1,客胜
863,(1)2-1,(1)0-1,(2)3-1,(1)0-1,(1)0-1,(0)1-1,平局
864,(2)5-3,(1)4-3,(5)2-7,(5)1-6,(1)0-1,(1)0-1,客胜
865,(2)5-3,(2)1-3,(2)1-3,(5)1-6,(7)1-8,(2)3-5,客胜
866,(1)4-5,(8)1-9,(9)1-10,(1)1-2,(1)1-2,(1)2-1,客胜
867,(1)1-2,(1)0-1,(2)0-2,(4)0-4,(2)3-1,(0)1-1,平局
868,(1)4-3,(0)4-4,(4)0-4,(8)1-9,(3)6-3,(4)7-3,主胜
869,(1)2-1,(0)3-3,(0)3-3,(2)0-2,(2)0-2,(3)0-3,主胜
870,(0)1-1,(3)4-1,(2)3-1,(0)1-1,(1)1-2,(0)3-3,客胜
871,(3)1-4,(5)0-5,(0)0-0,(2)0-2,(0)1-1,(1)0-1,客胜
